ID,Number,Name,Type1,Type2,Total,HP,Atk,Def,SpAtk,SpDef,Spd,Species,Height,Weight
250,202,Wobbuffet,Psychic,,405,190,33,58,33,58,33,Patient Pokémon,1.3 m,28.5 kg
251,203,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,Long Neck Pokémon,1.5 m,41.5 kg
252,204,Pineco,Bug,,290,50,65,90,35,35,15,Bagworm Pokémon,0.6 m,7.2 kg
253,205,Forretress,Bug,Steel,465,75,90,140,60,60,40,Bagworm Pokémon,1.2 m,125.8 kg
254,206,Dunsparce,Normal,,415,100,70,70,65,65,45,Land Snake Pokémon,1.5 m,14.0 kg
255,207,Gligar,Ground,Flying,430,65,75,105,35,65,85,FlyScorpion Pokémon,1.1 m,64.8 kg
256,208,Steelix,Steel,Ground,510,75,85,200,55,65,30,Iron Snake Pokémon,9.2 m,400.0 kg
257,208,Steelix(Mega Steelix),Steel,Ground,610,75,125,230,55,95,30,Iron Snake Pokémon,10.5 m,740.0 kg
258,209,Snubbull,Fairy,,300,60,80,50,40,40,30,Fairy Pokémon,0.6 m,7.8 kg
259,210,Granbull,Fairy,,450,90,120,75,60,60,45,Fairy Pokémon,1.4 m,48.7 kg
260,211,Qwilfish,Water,Poison,440,65,95,85,55,55,85,Balloon Pokémon,0.5 m,3.9 kg
261,212,Scizor,Bug,Steel,500,70,130,100,55,80,65,Pincer Pokémon,1.8 m,118.0 kg
262,212,Scizor(Mega Scizor),Bug,Steel,600,70,150,140,65,100,75,Pincer Pokémon,2.0 m,125.0 kg
263,213,Shuckle,Bug,Rock,505,20,10,230,10,230,5,Mold Pokémon,0.6 m,20.5 kg
264,214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,Single Horn Pokémon,1.5 m,54.0 kg
265,214,Heracross(Mega Heracross),Bug,Fighting,600,80,185,115,40,105,75,Single Horn Pokémon,1.7 m,62.5 kg
266,215,Sneasel,Dark,Ice,430,55,95,55,35,75,115,Sharp Claw Pokémon,0.9 m,28.0 kg
267,216,Teddiursa,Normal,,330,60,80,50,50,50,40,Little Bear Pokémon,0.6 m,8.8 kg
268,217,Ursaring,Normal,,500,90,130,75,75,75,55,Hibernator Pokémon,1.8 m,125.8 kg
269,218,Slugma,Fire,,250,40,40,40,70,40,20,Lava Pokémon,0.7 m,35.0 kg
270,219,Magcargo,Fire,Rock,430,60,50,120,90,80,30,Lava Pokémon,0.8 m,55.0 kg
271,220,Swinub,Ice,Ground,250,50,50,40,30,30,50,Pig Pokémon,0.4 m,6.5 kg
272,221,Piloswine,Ice,Ground,450,100,100,80,60,60,50,Swine Pokémon,1.1 m,55.8 kg
273,222,Corsola,Water,Rock,410,65,55,95,65,95,35,Coral Pokémon,0.6 m,5.0 kg
274,222,Corsola(Galarian Corsola),Ghost,,410,60,55,100,65,100,30,Coral Pokémon,0.6 m,0.5 kg
275,223,Remoraid,Water,,300,35,65,35,65,35,65,Jet Pokémon,0.6 m,12.0 kg
276,224,Octillery,Water,,480,75,105,75,105,75,45,Jet Pokémon,0.9 m,28.5 kg
277,225,Delibird,Ice,Flying,330,45,55,45,65,45,75,Delivery Pokémon,0.9 m,16.0 kg
278,226,Mantine,Water,Flying,485,85,40,70,80,140,70,Kite Pokémon,2.1 m,220.0 kg
279,227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,Armor Bird Pokémon,1.7 m,50.5 kg
280,228,Houndour,Dark,Fire,330,45,60,30,80,50,65,Dark Pokémon,0.6 m,10.8 kg
281,229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,Dark Pokémon,1.4 m,35.0 kg
282,229,Houndoom(Mega Houndoom),Dark,Fire,600,75,90,90,140,90,115,Dark Pokémon,1.9 m,49.5 kg
283,230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,Dragon Pokémon,1.8 m,152.0 kg
284,231,Phanpy,Ground,,330,90,60,60,40,40,40,Long Nose Pokémon,0.5 m,33.5 kg
285,232,Donphan,Ground,,500,90,120,120,60,60,50,Armor Pokémon,1.1 m,120.0 kg
286,233,Porygon2,Normal,,515,85,80,90,105,95,60,Virtual Pokémon,0.6 m,32.5 kg
287,234,Stantler,Normal,,465,73,95,62,85,65,85,Big Horn Pokémon,1.4 m,71.2 kg
288,235,Smeargle,Normal,,250,55,20,35,20,45,75,Painter Pokémon,1.2 m,58.0 kg
289,236,Tyrogue,Fighting,,210,35,35,35,35,35,35,Scuffle Pokémon,0.7 m,21.0 kg
290,237,Hitmontop,Fighting,,455,50,95,95,35,110,70,Handstand Pokémon,1.4 m,48.0 kg
291,238,Smoochum,Ice,Psychic,305,45,30,15,85,65,65,Kiss Pokémon,0.4 m,6.0 kg
292,239,Elekid,Electric,,360,45,63,37,65,55,95,Electric Pokémon,0.6 m,23.5 kg
293,240,Magby,Fire,,365,45,75,37,70,55,83,Live Coal Pokémon,0.7 m,21.4 kg
294,241,Miltank,Normal,,490,95,80,105,40,70,100,Milk Cow Pokémon,1.2 m,75.5 kg
295,242,Blissey,Normal,,540,255,10,10,75,135,55,Happiness Pokémon,1.5 m,46.8 kg
296,243,Raikou,Electric,,580,90,85,75,115,100,115,Thunder Pokémon,1.9 m,178.0 kg
297,244,Entei,Fire,,580,115,115,85,90,75,100,Volcano Pokémon,2.1 m,198.0 kg
298,245,Suicune,Water,,580,100,75,115,90,115,85,Aurora Pokémon,2.0 m,187.0 kg
299,246,Larvitar,Rock,Ground,300,50,64,50,45,50,41,Rock Skin Pokémon,0.6 m,72.0 kg
300,247,Pupitar,Rock,Ground,410,70,84,70,65,70,51,Hard Shell Pokémon,1.2 m,152.0 kg
301,248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,Armor Pokémon,2.0 m,202.0 kg
302,248,Tyranitar(Mega Tyranitar),Rock,Dark,700,100,164,150,95,120,71,Armor Pokémon,2.5 m,255.0 kg
303,249,Lugia,Psychic,Flying,680,106,90,130,90,154,110,Diving Pokémon,5.2 m,216.0 kg
304,250,Ho-oh,Fire,Flying,680,106,130,90,110,154,90,Rainbow Pokémon,3.8 m,199.0 kg
305,251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,Time Travel Pokémon,0.6 m,5.0 kg
306,252,Treecko,Grass,,310,40,45,35,65,55,70,Wood Gecko Pokémon,0.5 m,5.0 kg
307,253,Grovyle,Grass,,405,50,65,45,85,65,95,Wood Gecko Pokémon,0.9 m,21.6 kg
308,254,Sceptile,Grass,,530,70,85,65,105,85,120,Forest Pokémon,1.7 m,52.2 kg
309,254,Sceptile(Mega Sceptile),Grass,Dragon,630,70,110,75,145,85,145,Forest Pokémon,1.9 m,55.2 kg
310,255,Torchic,Fire,,310,45,60,40,70,50,45,Chick Pokémon,0.4 m,2.5 kg
311,256,Combusken,Fire,Fighting,405,60,85,60,85,60,55,Young Fowl Pokémon,0.9 m,19.5 kg
312,257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,Blaze Pokémon,1.9 m,52.0 kg
313,257,Blaziken(Mega Blaziken),Fire,Fighting,630,80,160,80,130,80,100,Blaze Pokémon,1.9 m,52.0 kg
314,258,Mudkip,Water,,310,50,70,50,50,50,40,Mud Fish Pokémon,0.4 m,7.6 kg
315,259,Marshtomp,Water,Ground,405,70,85,70,60,70,50,Mud Fish Pokémon,0.7 m,28.0 kg
316,260,Swampert,Water,Ground,535,100,110,90,85,90,60,Mud Fish Pokémon,1.5 m,81.9 kg
317,260,Swampert(Mega Swampert),Water,Ground,635,100,150,110,95,110,70,Mud Fish Pokémon,1.9 m,102.0 kg
318,261,Poochyena,Dark,,220,35,55,35,30,30,35,Bite Pokémon,0.5 m,13.6 kg
319,262,Mightyena,Dark,,420,70,90,70,60,60,70,Bite Pokémon,1.0 m,37.0 kg
320,263,Zigzagoon,Normal,,240,38,30,41,30,41,60,TinyRaccoon Pokémon,0.4 m,17.5 kg
321,263,Zigzagoon(Galarian Zigzagoon),Dark,Normal,240,38,30,41,30,41,60,Tiny Raccoon Pokémon,0.4 m,17.5 kg
322,264,Linoone,Normal,,420,78,70,61,50,61,100,Rushing Pokémon,0.5 m,32.5 kg
323,264,Linoone(Galarian Linoone),Dark,Normal,420,78,70,61,50,61,100,Rushing Pokémon,0.5 m,32.5 kg
324,265,Wurmple,Bug,,195,45,45,35,20,30,20,Worm Pokémon,0.3 m,3.6 kg
325,266,Silcoon,Bug,,205,50,35,55,25,25,15,Cocoon Pokémon,0.6 m,10.0 kg
326,267,Beautifly,Bug,Flying,395,60,70,50,100,50,65,Butterfly Pokémon,1.0 m,28.4 kg
327,268,Cascoon,Bug,,205,50,35,55,25,25,15,Cocoon Pokémon,0.7 m,11.5 kg
328,269,Dustox,Bug,Poison,385,60,50,70,50,90,65,Poison Moth Pokémon,1.2 m,31.6 kg
329,270,Lotad,Water,Grass,220,40,30,30,40,50,30,Water Weed Pokémon,0.5 m,2.6 kg
330,271,Lombre,Water,Grass,340,60,50,50,60,70,50,Jolly Pokémon,1.2 m,32.5 kg
331,272,Ludicolo,Water,Grass,480,80,70,70,90,100,70,Carefree Pokémon,1.5 m,55.0 kg
332,273,Seedot,Grass,,220,40,40,50,30,30,30,Acorn Pokémon,0.5 m,4.0 kg
333,274,Nuzleaf,Grass,Dark,340,70,70,40,60,40,60,Wily Pokémon,1.0 m,28.0 kg
334,275,Shiftry,Grass,Dark,480,90,100,60,90,60,80,Wicked Pokémon,1.3 m,59.6 kg
335,276,Taillow,Normal,Flying,270,40,55,30,30,30,85,TinySwallow Pokémon,0.3 m,2.3 kg
336,277,Swellow,Normal,Flying,455,60,85,60,75,50,125,Swallow Pokémon,0.7 m,19.8 kg
337,278,Wingull,Water,Flying,270,40,30,30,55,30,85,Seagull Pokémon,0.6 m,9.5 kg
338,279,Pelipper,Water,Flying,440,60,50,100,95,70,65,Water Bird Pokémon,1.2 m,28.0 kg
339,280,Ralts,Psychic,Fairy,198,28,25,25,45,35,40,Feeling Pokémon,0.4 m,6.6 kg
340,281,Kirlia,Psychic,Fairy,278,38,35,35,65,55,50,Emotion Pokémon,0.8 m,20.2 kg
341,282,Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,Embrace Pokémon,1.6 m,48.4 kg
342,282,Gardevoir(Mega Gardevoir),Psychic,Fairy,618,68,85,65,165,135,100,Embrace Pokémon,1.6 m,48.4 kg
343,283,Surskit,Bug,Water,269,40,30,32,50,52,65,Pond Skater Pokémon,0.5 m,1.7 kg
344,284,Masquerain,Bug,Flying,454,70,60,62,100,82,80,Eyeball Pokémon,0.8 m,3.6 kg
345,285,Shroomish,Grass,,295,60,40,60,40,60,35,Mushroom Pokémon,0.4 m,4.5 kg
346,286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,Mushroom Pokémon,1.2 m,39.2 kg
347,287,Slakoth,Normal,,280,60,60,60,35,35,30,Slacker Pokémon,0.8 m,24.0 kg
348,288,Vigoroth,Normal,,440,80,80,80,55,55,90,Wild Monkey Pokémon,1.4 m,46.5 kg
349,289,Slaking,Normal,,670,150,160,100,95,65,100,Lazy Pokémon,2.0 m,130.5 kg
350,290,Nincada,Bug,Ground,266,31,45,90,30,30,40,Trainee Pokémon,0.5 m,5.5 kg
351,291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,Ninja Pokémon,0.8 m,12.0 kg
352,292,Shedinja,Bug,Ghost,236,1,90,45,30,30,40,Shed Pokémon,0.8 m,1.2 kg
353,293,Whismur,Normal,,240,64,51,23,51,23,28,Whisper Pokémon,0.6 m,16.3 kg
354,294,Loudred,Normal,,360,84,71,43,71,43,48,Big Voice Pokémon,1.0 m,40.5 kg
355,295,Exploud,Normal,,490,104,91,63,91,73,68,Loud Noise Pokémon,1.5 m,84.0 kg
356,296,Makuhita,Fighting,,237,72,60,30,20,30,25,Guts Pokémon,1.0 m,86.4 kg
357,297,Hariyama,Fighting,,474,144,120,60,40,60,50,Arm Thrust Pokémon,2.3 m,253.8 kg
358,298,Azurill,Normal,Fairy,190,50,20,40,20,40,20,Polka Dot Pokémon,0.2 m,2.0 kg
359,299,Nosepass,Rock,,375,30,45,135,45,90,30,Compass Pokémon,1.0 m,97.0 kg
360,300,Skitty,Normal,,260,50,45,45,35,35,50,Kitten Pokémon,0.6 m,11.0 kg
361,301,Delcatty,Normal,,400,70,65,65,55,55,90,Prim Pokémon,1.1 m,32.6 kg
362,302,Sableye,Dark,Ghost,380,50,75,75,65,65,50,Darkness Pokémon,0.5 m,11.0 kg
363,302,Sableye(Mega Sableye),Dark,Ghost,480,50,85,125,85,115,20,Darkness Pokémon,0.5 m,161.0 kg
364,303,Mawile,Steel,Fairy,380,50,85,85,55,55,50,Deceiver Pokémon,0.6 m,11.5 kg
365,303,Mawile(Mega Mawile),Steel,Fairy,480,50,105,125,55,95,50,Deceiver Pokémon,1.0 m,23.5 kg
366,304,Aron,Steel,Rock,330,50,70,100,40,40,30,Iron Armor Pokémon,0.4 m,60.0 kg
367,305,Lairon,Steel,Rock,430,60,90,140,50,50,40,Iron Armor Pokémon,0.9 m,120.0 kg
368,306,Aggron,Steel,Rock,530,70,110,180,60,60,50,Iron Armor Pokémon,2.1 m,360.0 kg
369,306,Aggron(Mega Aggron),Steel,,630,70,140,230,60,80,50,Iron Armor Pokémon,2.2 m,395.0 kg
370,307,Meditite,Fighting,Psychic,280,30,40,55,40,55,60,Meditate Pokémon,0.6 m,11.2 kg
371,308,Medicham,Fighting,Psychic,410,60,60,75,60,75,80,Meditate Pokémon,1.3 m,31.5 kg
372,308,Medicham(Mega Medicham),Fighting,Psychic,510,60,100,85,80,85,100,Meditate Pokémon,1.3 m,31.5 kg
373,309,Electrike,Electric,,295,40,45,40,65,40,65,Lightning Pokémon,0.6 m,15.2 kg
374,310,Manectric,Electric,,475,70,75,60,105,60,105,Discharge Pokémon,1.5 m,40.2 kg
375,310,Manectric(Mega Manectric),Electric,,575,70,75,80,135,80,135,Discharge Pokémon,1.8 m,44.0 kg
376,311,Plusle,Electric,,405,60,50,40,85,75,95,Cheering Pokémon,0.4 m,4.2 kg
377,312,Minun,Electric,,405,60,40,50,75,85,95,Cheering Pokémon,0.4 m,4.2 kg
378,313,Volbeat,Bug,,430,65,73,75,47,85,85,Firefly Pokémon,0.7 m,17.7 kg
379,314,Illumise,Bug,,430,65,47,75,73,85,85,Firefly Pokémon,0.6 m,17.7 kg
380,315,Roselia,Grass,Poison,400,50,60,45,100,80,65,Thorn Pokémon,0.3 m,2.0 kg
381,316,Gulpin,Poison,,302,70,43,53,43,53,40,Stomach Pokémon,0.4 m,10.3 kg
382,317,Swalot,Poison,,467,100,73,83,73,83,55,Poison Bag Pokémon,1.7 m,80.0 kg
383,318,Carvanha,Water,Dark,305,45,90,20,65,20,65,Savage Pokémon,0.8 m,20.8 kg
384,319,Sharpedo,Water,Dark,460,70,120,40,95,40,95,Brutal Pokémon,1.8 m,88.8 kg
385,319,Sharpedo(Mega Sharpedo),Water,Dark,560,70,140,70,110,65,105,Brutal Pokémon,2.5 m,130.3 kg
386,320,Wailmer,Water,,400,130,70,35,70,35,60,Ball Whale Pokémon,2.0 m,130.0 kg
387,321,Wailord,Water,,500,170,90,45,90,45,60,Float Whale Pokémon,14.5 m,398.0 kg
388,322,Numel,Fire,Ground,305,60,60,40,65,45,35,Numb Pokémon,0.7 m,24.0 kg
389,323,Camerupt,Fire,Ground,460,70,100,70,105,75,40,Eruption Pokémon,1.9 m,220.0 kg
390,323,Camerupt(Mega Camerupt),Fire,Ground,560,70,120,100,145,105,20,Eruption Pokémon,2.5 m,320.5 kg
391,324,Torkoal,Fire,,470,70,85,140,85,70,20,Coal Pokémon,0.5 m,80.4 kg
392,325,Spoink,Psychic,,330,60,25,35,70,80,60,Bounce Pokémon,0.7 m,30.6 kg
393,326,Grumpig,Psychic,,470,80,45,65,90,110,80,Manipulate Pokémon,0.9 m,71.5 kg
394,327,Spinda,Normal,,360,60,60,60,60,60,60,Spot Panda Pokémon,1.1 m,5.0 kg
395,328,Trapinch,Ground,,290,45,100,45,45,45,10,Ant Pit Pokémon,0.7 m,15.0 kg
396,329,Vibrava,Ground,Dragon,340,50,70,50,50,50,70,Vibration Pokémon,1.1 m,15.3 kg
397,330,Flygon,Ground,Dragon,520,80,100,80,80,80,100,Mystic Pokémon,2.0 m,82.0 kg
398,331,Cacnea,Grass,,335,50,85,40,85,40,35,Cactus Pokémon,0.4 m,51.3 kg
399,332,Cacturne,Grass,Dark,475,70,115,60,115,60,55,Scarecrow Pokémon,1.3 m,77.4 kg
400,333,Swablu,Normal,Flying,310,45,40,60,40,75,50,Cotton Bird Pokémon,0.4 m,1.2 kg
401,334,Altaria,Dragon,Flying,490,75,70,90,70,105,80,Humming Pokémon,1.1 m,20.6 kg
402,334,Altaria(Mega Altaria),Dragon,Fairy,590,75,110,110,110,105,80,Humming Pokémon,1.5 m,20.6 kg
403,335,Zangoose,Normal,,458,73,115,60,60,60,90,Cat Ferret Pokémon,1.3 m,40.3 kg
404,336,Seviper,Poison,,458,73,100,60,100,60,65,Fang Snake Pokémon,2.7 m,52.5 kg
405,337,Lunatone,Rock,Psychic,460,90,55,65,95,85,70,Meteorite Pokémon,1.0 m,168.0 kg
406,338,Solrock,Rock,Psychic,460,90,95,85,55,65,70,Meteorite Pokémon,1.2 m,154.0 kg
407,339,Barboach,Water,Ground,288,50,48,43,46,41,60,Whiskers Pokémon,0.4 m,1.9 kg
408,340,Whiscash,Water,Ground,468,110,78,73,76,71,60,Whiskers Pokémon,0.9 m,23.6 kg
409,341,Corphish,Water,,308,43,80,65,50,35,35,Ruffian Pokémon,0.6 m,11.5 kg
410,342,Crawdaunt,Water,Dark,468,63,120,85,90,55,55,Rogue Pokémon,1.1 m,32.8 kg
411,343,Baltoy,Ground,Psychic,300,40,40,55,40,70,55,Clay Doll Pokémon,0.5 m,21.5 kg
412,344,Claydol,Ground,Psychic,500,60,70,105,70,120,75,Clay Doll Pokémon,1.5 m,108.0 kg
413,345,Lileep,Rock,Grass,355,66,41,77,61,87,23,Sea Lily Pokémon,1.0 m,23.8 kg
414,346,Cradily,Rock,Grass,495,86,81,97,81,107,43,Barnacle Pokémon,1.5 m,60.4 kg
415,347,Anorith,Rock,Bug,355,45,95,50,40,50,75,Old Shrimp Pokémon,0.7 m,12.5 kg
416,348,Armaldo,Rock,Bug,495,75,125,100,70,80,45,Plate Pokémon,1.5 m,68.2 kg
417,349,Feebas,Water,,200,20,15,20,10,55,80,Fish Pokémon,0.6 m,7.4 kg
418,350,Milotic,Water,,540,95,60,79,100,125,81,Tender Pokémon,6.2 m,162.0 kg
419,351,Castform,Normal,,420,70,70,70,70,70,70,Weather Pokémon,0.3 m,0.8 kg
420,351,Castform(Sunny Form),Fire,,420,70,70,70,70,70,70,Weather Pokémon,0.3 m,0.8 kg
421,351,Castform(Rainy Form),Water,,420,70,70,70,70,70,70,Weather Pokémon,0.3 m,0.8 kg
422,351,Castform(Snowy Form),Ice,,420,70,70,70,70,70,70,Weather Pokémon,0.3 m,0.8 kg
423,352,Kecleon,Normal,,440,60,90,70,60,120,40,Color Swap Pokémon,1.0 m,22.0 kg
424,353,Shuppet,Ghost,,295,44,75,35,63,33,45,Puppet Pokémon,0.6 m,2.3 kg
425,354,Banette,Ghost,,455,64,115,65,83,63,65,Marionette Pokémon,1.1 m,12.5 kg
426,354,Banette(Mega Banette),Ghost,,555,64,165,75,93,83,75,Marionette Pokémon,1.2 m,13.0 kg
427,355,Duskull,Ghost,,295,20,40,90,30,90,25,Requiem Pokémon,0.8 m,15.0 kg
428,356,Dusclops,Ghost,,455,40,70,130,60,130,25,Beckon Pokémon,1.6 m,30.6 kg
429,357,Tropius,Grass,Flying,460,99,68,83,72,87,51,Fruit Pokémon,2.0 m,100.0 kg
430,358,Chimecho,Psychic,,455,75,50,80,95,90,65,Wind Chime Pokémon,0.6 m,1.0 kg
431,359,Absol,Dark,,465,65,130,60,75,60,75,Disaster Pokémon,1.2 m,47.0 kg
432,359,Absol(Mega Absol),Dark,,565,65,150,60,115,60,115,Disaster Pokémon,1.2 m,49.0 kg
433,360,Wynaut,Psychic,,260,95,23,48,23,48,23,Bright Pokémon,0.6 m,14.0 kg
434,361,Snorunt,Ice,,300,50,50,50,50,50,50,Snow Hat Pokémon,0.7 m,16.8 kg
435,362,Glalie,Ice,,480,80,80,80,80,80,80,Face Pokémon,1.5 m,256.5 kg
436,362,Glalie(Mega Glalie),Ice,,580,80,120,80,120,80,100,Face Pokémon,2.1 m,350.2 kg
437,363,Spheal,Ice,Water,290,70,40,50,55,50,25,Clap Pokémon,0.8 m,39.5 kg
438,364,Sealeo,Ice,Water,410,90,60,70,75,70,45,Ball Roll Pokémon,1.1 m,87.6 kg
439,365,Walrein,Ice,Water,530,110,80,90,95,90,65,Ice Break Pokémon,1.4 m,150.6 kg
440,366,Clamperl,Water,,345,35,64,85,74,55,32,Bivalve Pokémon,0.4 m,52.5 kg
441,367,Huntail,Water,,485,55,104,105,94,75,52,Deep Sea Pokémon,1.7 m,27.0 kg
442,368,Gorebyss,Water,,485,55,84,105,114,75,52,South Sea Pokémon,1.8 m,22.6 kg
443,369,Relicanth,Water,Rock,485,100,90,130,45,65,55,Longevity Pokémon,1.0 m,23.4 kg
444,370,Luvdisc,Water,,330,43,30,55,40,65,97,Rendezvous Pokémon,0.6 m,8.7 kg
445,371,Bagon,Dragon,,300,45,75,60,40,30,50,Rock Head Pokémon,0.6 m,42.1 kg
446,372,Shelgon,Dragon,,420,65,95,100,60,50,50,Endurance Pokémon,1.1 m,110.5 kg
447,373,Salamence,Dragon,Flying,600,95,135,80,110,80,100,Dragon Pokémon,1.5 m,102.6 kg
448,373,Salamence(Mega Salamence),Dragon,Flying,700,95,145,130,120,90,120,Dragon Pokémon,1.8 m,112.6 kg
449,374,Beldum,Steel,Psychic,300,40,55,80,35,60,30,Iron Ball Pokémon,0.6 m,95.2 kg
450,375,Metang,Steel,Psychic,420,60,75,100,55,80,50,Iron Claw Pokémon,1.2 m,202.5 kg
451,376,Metagross,Steel,Psychic,600,80,135,130,95,90,70,Iron Leg Pokémon,1.6 m,550.0 kg
452,376,Metagross(Mega Metagross),Steel,Psychic,700,80,145,150,105,110,110,Iron Leg Pokémon,2.5 m,942.9 kg
453,377,Regirock,Rock,,580,80,100,200,50,100,50,Rock Peak Pokémon,1.7 m,230.0 kg
454,378,Regice,Ice,,580,80,50,100,100,200,50,Iceberg Pokémon,1.8 m,175.0 kg
455,379,Registeel,Steel,,580,80,75,150,75,150,50,Iron Pokémon,1.9 m,205.0 kg
456,380,Latias,Dragon,Psychic,600,80,80,90,110,130,110,Eon Pokémon,1.4 m,40.0 kg
457,380,Latias(Mega Latias),Dragon,Psychic,700,80,100,120,140,150,110,Eon Pokémon,1.8 m,52.0 kg
458,381,Latios,Dragon,Psychic,600,80,90,80,130,110,110,Eon Pokémon,2.0 m,60.0 kg
459,381,Latios(Mega Latios),Dragon,Psychic,700,80,130,100,160,120,110,Eon Pokémon,2.3 m,70.0 kg
460,382,Kyogre,Water,,670,100,100,90,150,140,90,Sea Basin Pokémon,4.5 m,352.0 kg
461,382,Kyogre(Primal Kyogre),Water,,770,100,150,90,180,160,90,Sea Basin Pokémon,9.8 m,430.0 kg
462,383,Groudon,Ground,,670,100,150,140,100,90,90,Continent Pokémon,3.5 m,950.0 kg
463,383,Groudon(Primal Groudon),Ground,Fire,770,100,180,160,150,90,90,Continent Pokémon,5.0 m,999.7 kg
464,384,Rayquaza,Dragon,Flying,680,105,150,90,150,90,95,Sky High Pokémon,7.0 m,206.5 kg
465,384,Rayquaza(Mega Rayquaza),Dragon,Flying,780,105,180,100,180,100,115,Sky High Pokémon,10.8 m,392.0 kg
466,385,Jirachi,Steel,Psychic,600,100,100,100,100,100,100,Wish Pokémon,0.3 m,1.1 kg
467,386,Deoxys(Normal Forme),Psychic,,600,50,150,50,150,50,150,DNA Pokémon,1.7 m,60.8 kg
468,386,Deoxys(Attack Forme),Psychic,,600,50,180,20,180,20,150,DNA Pokémon,1.7 m,60.8 kg
469,386,Deoxys(Defense Forme),Psychic,,600,50,70,160,70,160,90,DNA Pokémon,1.7 m,60.8 kg
470,386,Deoxys(Speed Forme),Psychic,,600,50,95,90,95,90,180,DNA Pokémon,1.7 m,60.8 kg
471,387,Turtwig,Grass,,318,55,68,64,45,55,31,Tiny Leaf Pokémon,0.4 m,10.2 kg
472,388,Grotle,Grass,,405,75,89,85,55,65,36,Grove Pokémon,1.1 m,97.0 kg
473,389,Torterra,Grass,Ground,525,95,109,105,75,85,56,Continent Pokémon,2.2 m,310.0 kg
474,390,Chimchar,Fire,,309,44,58,44,58,44,61,Chimp Pokémon,0.5 m,6.2 kg
475,391,Monferno,Fire,Fighting,405,64,78,52,78,52,81,Playful Pokémon,0.9 m,22.0 kg
476,392,Infernape,Fire,Fighting,534,76,104,71,104,71,108,Flame Pokémon,1.2 m,55.0 kg
477,393,Piplup,Water,,314,53,51,53,61,56,40,Penguin Pokémon,0.4 m,5.2 kg
478,394,Prinplup,Water,,405,64,66,68,81,76,50,Penguin Pokémon,0.8 m,23.0 kg
479,395,Empoleon,Water,Steel,530,84,86,88,111,101,60,Emperor Pokémon,1.7 m,84.5 kg
480,396,Starly,Normal,Flying,245,40,55,30,30,30,60,Starling Pokémon,0.3 m,2.0 kg
481,397,Staravia,Normal,Flying,340,55,75,50,40,40,80,Starling Pokémon,0.6 m,15.5 kg
482,398,Staraptor,Normal,Flying,485,85,120,70,50,60,100,Predator Pokémon,1.2 m,24.9 kg
483,399,Bidoof,Normal,,250,59,45,40,35,40,31,Plump Mouse Pokémon,0.5 m,20.0 kg
484,400,Bibarel,Normal,Water,410,79,85,60,55,60,71,Beaver Pokémon,1.0 m,31.5 kg
485,401,Kricketot,Bug,,194,37,25,41,25,41,25,Cricket Pokémon,0.3 m,2.2 kg
486,402,Kricketune,Bug,,384,77,85,51,55,51,65,Cricket Pokémon,1.0 m,25.5 kg
487,403,Shinx,Electric,,263,45,65,34,40,34,45,Flash Pokémon,0.5 m,9.5 kg
488,404,Luxio,Electric,,363,60,85,49,60,49,60,Spark Pokémon,0.9 m,30.5 kg
489,405,Luxray,Electric,,523,80,120,79,95,79,70,Gleam Eyes Pokémon,1.4 m,42.0 kg
490,406,Budew,Grass,Poison,280,40,30,35,50,70,55,Bud Pokémon,0.2 m,1.2 kg
491,407,Roserade,Grass,Poison,515,60,70,65,125,105,90,Bouquet Pokémon,0.9 m,14.5 kg
492,408,Cranidos,Rock,,350,67,125,40,30,30,58,Head Butt Pokémon,0.9 m,31.5 kg
493,409,Rampardos,Rock,,495,97,165,60,65,50,58,Head Butt Pokémon,1.6 m,102.5 kg
494,410,Shieldon,Rock,Steel,350,30,42,118,42,88,30,Shield Pokémon,0.5 m,57.0 kg
495,411,Bastiodon,Rock,Steel,495,60,52,168,47,138,30,Shield Pokémon,1.3 m,149.5 kg
496,412,Burmy,Bug,,224,40,29,45,29,45,36,Bagworm Pokémon,0.2 m,3.4 kg
497,413,Wormadam(Plant Cloak),Bug,Grass,424,60,59,85,79,105,36,Bagworm Pokémon,0.5 m,6.5 kg
498,413,Wormadam(Sandy Cloak),Bug,Ground,424,60,79,105,59,85,36,Bagworm Pokémon,0.5 m,6.5 kg
499,413,Wormadam(Trash Cloak),Bug,Steel,424,60,69,95,69,95,36,Bagworm Pokémon,0.5 m,6.5 kg
500,414,Mothim,Bug,Flying,424,70,94,50,94,50,66,Moth Pokémon,0.9 m,23.3 kg
501,415,Combee,Bug,Flying,244,30,30,42,30,42,70,Tiny Bee Pokémon,0.3 m,5.5 kg
502,416,Vespiquen,Bug,Flying,474,70,80,102,80,102,40,Beehive Pokémon,1.2 m,38.5 kg
